tau=0.01,tau=0.05,tau=0.1,tau=0.5,tau=1,tau=5,naive
0.290910395421217,0.6495275601217662,0.5346142460558131,0.1605878411681477,0.5997745921974065,0.09830542696471574,0.00011883420432412528
0.9817509654215524,0.4892651824514157,0.4955641951751385,0.9979627924381824,0.188515455554226,0.9084173857981193,0.00015160394640356678
0.5238640610562434,0.9173471610919061,0.020392097509171387,0.2411677466904751,0.5297095539509027,0.9347345257001536,0.0005741761395008371
0.7144518233711008,0.2943746303849194,0.3578959294332655,0.7185606080584656,0.11038345188574925,0.34050119340466556,0.00010823712869112434
0.41415649852442354,0.7024177491700745,0.15036771512936187,0.44166601445612,0.4748453012654554,0.2984206009904996,0.00011695321018134752
0.613529492286128,0.8867039952088902,0.18082003576552122,0.014172317167992037,0.24317624690623293,0.5402132220706424,0.0056344621872596035
0.9065263658498031,0.256921730949354,0.9157644933111277,0.4798469240124437,0.7926794919233977,0.31274924069532567,3.984145775448589e-05
0.28373678453328155,0.9098616958355075,0.8219161295550834,0.7694816838883191,0.21797070802903162,0.06569903192929173,3.7943015478547615e-05
0.08065074242960227,0.5229641836680552,0.39058298595536245,0.05499388565731329,0.4310500829176511,0.2503222355400836,0.011985642920802508
0.2677504345089929,0.2458826305218831,0.3933845083190207,0.03890799302066308,0.28766396771258357,0.39218476748604464,3.157598282099716e-05
0.10580922965065076,0.889950894905827,0.5057302780568903,0.024354331131071657,0.8257821903655309,0.8925352025557357,1.2959790676170257e-06
0.8438431754155888,0.5189262321150637,0.3522353473511824,0.9492012850743758,0.5509616393403031,0.943750269775695,0.005147490390488785
0.3204670604706553,0.9226983464433057,0.8061608749881337,0.490027061773237,0.6787650070520943,0.3858155816503809,0.003505918318873591
0.9823166954401309,0.01960127206230677,0.28874869128523956,0.20918130360064735,0.4065074184469133,0.8741116219294635,0.0030166921723902007
0.7279371242802999,0.5524168630370566,0.5817926846208945,0.59968828029993,0.4494049519533966,0.36318622461437977,0.00014217928551052417
0.9142320822430349,0.8722229281876919,0.5519768126735662,0.3321571166789777,0.6980175728987584,0.21593266189322974,0.001253515930391469
0.14836444141623972,3.7921153942860695e-05,0.99731497370145,0.7687318696697767,0.14871213867805866,0.03314681630596889,3.086732525137137e-08
0.9928788655197572,0.4640183576128209,0.9588572126737116,0.9529478181356541,0.6542680695976488,0.6761199447174613,1.917274474072528e-06
0.10286575044502975,0.06813158044578457,0.7912819723486016,0.8514705436113255,0.8425160631820413,0.4199326725990988,9.926465163401232e-06
0.8761296381893139,0.9411737930823829,0.6438159760531481,0.6340009951187479,0.9762307285285821,0.749935578833738,0.014342938295352825
0.9116581937898282,0.39913421635541696,0.7296994292257697,0.5275071343167321,0.33714989806940665,0.6570257120402077,0.007100595347669714
0.7504601901579208,0.15460115193301097,0.9178181980136441,0.33728358701891953,0.156528495598413,0.6307708197758815,2.8232667553806934e-05
0.9688481624002474,0.38313141301943915,0.23641463653564357,0.10263810206916417,0.7625128099858482,0.636624892653359,0.005612956517692447
0.43036425025207437,0.9793907198344816,0.9304274768338097,0.9650242410766011,0.02909567601121947,0.00975180204464868,2.5627966248387146e-05
0.9551240477506442,0.6405939195475131,0.2800060582136426,0.5748288814413886,0.6245579183807023,0.32667061234705697,6.65223599538578e-07
0.5057739668579928,0.34771097206805,0.6768476220276944,0.6684372422361384,0.9996998243975691,0.11903470620072971,0.00019708543370389187
0.5909234579186499,0.23609652912747653,0.6080957285234808,0.7784678128446358,0.5057584012215854,0.5768386718268272,0.0003014839867827579
0.7535036629951077,0.5950315131086582,0.07554854383729696,0.142585384785715,0.7800328908823956,0.4338314862718064,4.040649853043199e-06
0.36969706035694827,0.6858546800407924,0.8658613285511091,0.07901926833341959,0.8568508278959619,0.512539300125751,0.003434958432848245
0.7554963202124646,0.3394446877798735,0.06426709314407096,0.2539587382269335,0.922458121726264,0.8334494118186642,1.4886864074803441e-08
0.9957296744561724,0.5224919720311012,0.3896084121301595,,0.34646830866504424,0.9569309176877718,0.0006221144374898291
0.6651594639347979,0.9518859846161986,0.38525241669936955,0.95944169685097,0.8178532511224225,0.053536521454983825,0.0001095972797701128
0.9226691824028131,0.09344167504110963,0.04929594273152669,0.6932446231612833,0.7669732352408059,0.5866198245037467,2.673964438604237e-05
0.6875108535001573,0.07681138192401998,0.5146159900060071,0.27935295329406346,0.3683155600162982,0.5404917920651574,0.001185054170747768
0.42536482765021977,0.15562501791162664,0.4208828242319103,0.5084720799606158,0.7132794318005956,0.300057636297829,0.001503089860275253
0.011885758528440033,0.6589791562556885,0.4531161646517649,0.4510263420414958,0.11752721719482344,0.40253869199332737,0.00029951535136263363
0.13022512399851813,0.8205570788473108,0.6467491355716283,0.17179173305656767,0.678665985421876,0.7700230851383852,0.0009639675415987758
0.5022977663667655,0.7958405519849147,0.31554068758085985,0.6167757704433531,0.1181051764114657,0.7975278698417405,3.905229124723242e-05
0.03294046110566038,0.7242735169028263,0.6357129776072683,0.19685984090202172,0.7491546333010879,0.4894552044751102,0.00140524490420324
0.9800729074525044,0.34099391741144913,0.6634993406913166,0.07427284005749077,0.08192312678118997,0.8405780287546832,0.00024383883181278154
0.7148048997634735,0.7855089011920446,0.9837499191054923,0.801335284813713,0.07783134116005867,0.48793492294511487,0.0009904838382435166
0.09957601847651779,0.3161319585726572,0.5057933659051086,0.42024392078056183,0.2822365708968009,0.6594242566009385,2.0657750345876025e-05
0.6448869068488667,0.5342164058520609,0.14736353454420695,0.3873401585949186,0.6113513396865684,0.9923218235274505,0.010905529382590484
0.6887782220274582,0.5677869671564457,0.6178269224337409,0.33101421199989084,0.45800502070819415,0.4777655198260673,0.0002585869851361444
0.8180211971424372,0.061714173473856715,0.24044978007132678,0.4417752881492784,0.8728622988626672,,1.3485938789470353e-05
0.024207003690212916,0.10857285864705944,0.41141979543510127,0.09291798706411272,0.1821564526252171,0.9988092177433155,1.3550461666733682e-05
