,Tau,Method,ARI
706,0.05,Randomized,1.0
707,0.1,Randomized,1.0
708,0.25,Randomized,1.0
709,0.5,Randomized,0.02145922746781116
710,1.0,Randomized,0.0
711,5.0,Randomized,0.02145922746781116
712,0.0,Naive,1.0
713,0.025,Randomized,1.0
714,0.05,Randomized,1.0
715,0.1,Randomized,1.0
716,0.25,Randomized,1.0
717,0.5,Randomized,0.02145922746781116
718,1.0,Randomized,-0.030684931506849315
719,5.0,Randomized,-0.019313304721030045
720,0.0,Naive,1.0
721,0.025,Randomized,1.0
722,0.05,Randomized,1.0
723,0.1,Randomized,1.0
724,0.25,Randomized,1.0
725,0.5,Randomized,1.0
726,1.0,Randomized,0.3303964757709251
727,5.0,Randomized,0.04422332780541736
728,0.0,Naive,1.0
729,0.025,Randomized,1.0
730,0.05,Randomized,1.0
731,0.1,Randomized,1.0
732,0.25,Randomized,0.0
733,0.5,Randomized,0.02145922746781116
734,1.0,Randomized,-0.03980099502487562
735,5.0,Randomized,-0.004405286343612335
736,0.0,Naive,1.0
737,0.025,Randomized,1.0
738,0.05,Randomized,1.0
739,0.1,Randomized,1.0
740,0.25,Randomized,1.0
741,0.5,Randomized,0.21227197346600332
742,1.0,Randomized,0.13071895424836602
743,5.0,Randomized,0.02145922746781116
744,0.0,Naive,1.0
745,0.025,Randomized,1.0
746,0.05,Randomized,1.0
747,0.1,Randomized,1.0
748,0.25,Randomized,0.02145922746781116
749,0.5,Randomized,0.02145922746781116
750,1.0,Randomized,0.02145922746781116
751,5.0,Randomized,0.0526027397260274
752,0.0,Naive,1.0
753,0.025,Randomized,1.0
754,0.05,Randomized,1.0
755,0.1,Randomized,1.0
756,0.25,Randomized,0.46434494195688225
757,0.5,Randomized,0.3259423503325942
758,1.0,Randomized,-0.030684931506849315
759,5.0,Randomized,0.006535947712418301
760,0.0,Naive,1.0
761,0.025,Randomized,1.0
762,0.05,Randomized,1.0
763,0.1,Randomized,1.0
764,0.25,Randomized,0.7995558023320377
765,0.5,Randomized,0.46434494195688225
766,1.0,Randomized,0.04422332780541736
767,5.0,Randomized,0.1211453744493392
768,0.0,Naive,1.0
769,0.025,Randomized,1.0
770,0.05,Randomized,1.0
771,0.1,Randomized,1.0
772,0.25,Randomized,1.0
773,0.5,Randomized,0.0
774,1.0,Randomized,0.0
775,5.0,Randomized,0.04422332780541736
776,0.0,Naive,1.0
777,0.025,Randomized,1.0
778,0.05,Randomized,1.0
779,0.1,Randomized,0.0
780,0.25,Randomized,0.0
781,0.5,Randomized,0.0
782,1.0,Randomized,0.2191780821917808
783,5.0,Randomized,0.02145922746781116
784,0.0,Naive,1.0
785,0.025,Randomized,1.0
786,0.05,Randomized,1.0
787,0.1,Randomized,1.0
788,0.25,Randomized,0.0
789,0.5,Randomized,0.2191780821917808
790,1.0,Randomized,0.2191780821917808
791,5.0,Randomized,0.11333333333333333
792,0.0,Naive,1.0
793,0.025,Randomized,1.0
794,0.05,Randomized,1.0
795,0.1,Randomized,1.0
796,0.25,Randomized,0.0
797,0.5,Randomized,0.0
798,1.0,Randomized,0.06489994591671173
799,5.0,Randomized,-0.019313304721030045
800,0.0,Naive,1.0
801,0.025,Randomized,1.0
802,0.05,Randomized,1.0
