,Tau,Method,WCSS/TSS
92,0.25,Randomized,0.8897643904782964
93,0.5,Randomized,0.9748135014643925
94,1.0,Randomized,0.8024759218475715
95,5.0,Randomized,0.8761108981706549
96,0.0,Naive,0.18137552154930892
97,0.025,Randomized,0.18284991250486457
98,0.05,Randomized,0.18284991250486457
99,0.1,Randomized,0.18284991250486457
100,0.25,Randomized,0.854701780945077
101,0.5,Randomized,0.854701780945077
102,1.0,Randomized,0.9383308571569596
103,5.0,Randomized,0.9476977882911559
104,0.0,Naive,0.18433737863304753
105,0.025,Randomized,0.18433737863304753
106,0.05,Randomized,0.18433737863304753
107,0.1,Randomized,0.18433737863304753
108,0.25,Randomized,0.18433737863304753
109,0.5,Randomized,0.7894150249579128
110,1.0,Randomized,0.8818628217641835
111,5.0,Randomized,0.8503320299952993
112,0.0,Naive,0.12880294523262592
113,0.025,Randomized,0.12880294523262592
114,0.05,Randomized,0.12880294523262592
115,0.1,Randomized,0.12880294523262592
116,0.25,Randomized,0.12880294523262592
117,0.5,Randomized,0.5888004647611291
118,1.0,Randomized,0.7334148377372325
119,5.0,Randomized,0.9946959138816444
120,0.0,Naive,0.19264738578923823
121,0.025,Randomized,0.19264738578923823
122,0.05,Randomized,0.19264738578923823
123,0.1,Randomized,0.19264738578923823
124,0.25,Randomized,0.8834971460298752
125,0.5,Randomized,0.8865573457340044
126,1.0,Randomized,0.9623913416826199
127,5.0,Randomized,0.9433501760293135
128,0.0,Naive,0.11910051733720221
129,0.025,Randomized,0.11910051733720221
130,0.05,Randomized,0.11910051733720221
131,0.1,Randomized,0.11910051733720221
132,0.25,Randomized,0.11910051733720221
133,0.5,Randomized,0.11910051733720221
134,1.0,Randomized,0.9514677603841717
135,5.0,Randomized,0.9992464043276582
136,0.0,Naive,0.1805244725179548
137,0.025,Randomized,0.1805244725179548
138,0.05,Randomized,0.1805244725179548
139,0.1,Randomized,0.3144195895245567
140,0.25,Randomized,0.3858688477721607
141,0.5,Randomized,0.8119352197391133
142,1.0,Randomized,0.8766705927804442
143,5.0,Randomized,0.9704113132610597
144,0.0,Naive,0.14883268537316616
145,0.025,Randomized,0.14883268537316616
146,0.05,Randomized,0.14883268537316616
147,0.1,Randomized,0.14883268537316616
148,0.25,Randomized,0.14883268537316616
149,0.5,Randomized,0.9583138768433987
150,1.0,Randomized,0.8855448376791064
151,5.0,Randomized,0.8855448376791064
152,0.0,Naive,0.15951855980410792
153,0.025,Randomized,0.15951855980410792
154,0.05,Randomized,0.15951855980410792
155,0.1,Randomized,0.15951855980410792
156,0.25,Randomized,0.15951855980410792
157,0.5,Randomized,0.8320680169846644
158,1.0,Randomized,0.8361846796800244
159,5.0,Randomized,0.9745461172915336
160,0.0,Naive,0.16585277878225982
161,0.025,Randomized,0.16585277878225982
162,0.05,Randomized,0.16585277878225982
163,0.1,Randomized,0.16585277878225982
164,0.25,Randomized,0.16585277878225982
165,0.5,Randomized,0.8727021921025613
166,1.0,Randomized,0.9348488995831505
167,5.0,Randomized,0.7985076471720517
168,0.0,Naive,0.12771983422320357
169,0.025,Randomized,0.12771983422320357
170,0.05,Randomized,0.12771983422320357
171,0.1,Randomized,0.12771983422320357
172,0.25,Randomized,0.12771983422320357
173,0.5,Randomized,0.250164226584789
174,1.0,Randomized,0.9095697033292205
175,5.0,Randomized,0.7844558558146929
