tau,delta,effect_size,reject
0.05,5.0,1.7495397241166935,1
0.05,5.0,1.9187937474388805,1
0.05,5.0,1.5438993701303003,0
0.05,5.0,1.944042291854758,1
0.05,5.0,1.930744730197276,1
0.05,5.0,1.7913071130714477,1
0.05,6.875,1.7900667986894896,1
0.05,6.875,1.8706620070905224,1
0.05,6.875,1.7145546280554518,1
0.05,6.875,1.8201223181543047,1
0.05,6.875,1.823400820318005,1
0.05,6.875,2.063706492205061,1
0.05,6.875,1.6707865960507495,1
0.05,6.875,1.7692136159543486,1
0.05,6.875,1.6747284656887824,1
0.05,6.875,1.801717744772517,1
0.05,6.875,1.7151139835774196,1
0.05,6.875,1.7179176598647103,1
0.05,6.875,1.906236193402589,1
0.05,6.875,1.7760523304765876,1
0.05,6.875,1.9072187234568438,1
0.05,6.875,1.7115503879955551,1
0.05,6.875,1.76030350603097,1
0.05,6.875,1.7953323933749574,1
0.05,6.875,1.8241249939266269,1
0.05,6.875,1.6392866540226638,1
0.05,6.875,1.8205554028303965,1
0.05,6.875,1.6895689757522305,1
0.05,6.875,1.9721902774135502,1
0.05,6.875,1.7196447584419654,1
0.05,6.875,1.8864980198618004,1
0.05,6.875,1.83982157332618,1
0.05,6.875,1.8685407498679167,1
0.05,6.875,1.887806828702321,1
0.05,6.875,1.8123435093651876,1
0.05,6.875,1.8338148876742526,1
0.05,8.75,1.8175342328079271,1
0.05,8.75,1.7829899387235582,1
0.05,8.75,1.7603152906796062,1
0.05,8.75,1.8873878742719346,1
0.05,8.75,1.7862997346250493,1
0.05,8.75,1.9547209969037482,1
0.05,8.75,1.9222190899597282,1
0.05,8.75,1.8302947937235234,1
0.05,8.75,1.8162731636592644,1
0.05,8.75,2.088059726446568,1
0.05,8.75,1.9309623598465424,1
0.05,8.75,1.7995573659662334,1
0.05,8.75,1.7413452001945937,1
0.05,8.75,1.808449846821444,1
0.05,8.75,1.8945237504599208,1
0.05,8.75,1.7581879502296285,1
0.05,8.75,1.7157727665752593,1
0.05,8.75,1.5423192723364814,1
0.05,8.75,1.9556665922520418,1
0.05,8.75,2.0191610734441205,1
0.05,8.75,1.9201576073847098,1
0.05,8.75,1.8270943628130787,1
0.05,8.75,1.8229560555202942,1
0.05,8.75,1.8076313736848466,1
0.05,8.75,1.9317914267512017,1
0.05,8.75,1.9234838869194066,1
0.05,8.75,1.8788140624096425,1
0.05,8.75,1.7817695601724197,1
0.05,8.75,1.8698654320902721,1
0.05,8.75,1.829383490350082,1
0.05,10.625,1.9646697847263448,1
0.05,10.625,1.8783621242902595,1
0.05,10.625,1.9377346351832587,1
